NULL,"0207.26.20.00.00","----- Yarım veya çeyrekler","Kg"
NULL,"0207.26.30.00.00","----- Bütün kanatlar (kanat uçları olsun olmasın)","Kg"
NULL,"0207.26.40.00.00","----- Sırt,boyun,boyunlu sırt,kanat ve kuyruk uçları","Kg"
NULL,"0207.26.50.00.00","----- Göğüs ve göğüs parçaları","Kg"
NULL,,"----- But ve but parçaları",
NULL,"0207.26.60.00.00","------ Butun alt kısmı ve parçaları","Kg"
NULL,"0207.26.70.00.00","------ Diğerleri","Kg"
NULL,"0207.26.80.00.00","----- Diğerleri","Kg"
NULL,,"--- Sakatat",
NULL,"0207.26.91.00.00","---- Karaciğerler","Kg"
NULL,"0207.26.99.00.00","---- Diğerleri","Kg"
NULL,"0207.27","-- Parça halindeki etler ve sakatat (dondurulmuş):",
NULL,,"--- Parçalar:",
NULL,"0207.27.10.00.00","---- Kemiksiz","Kg"
NULL,,"---- Kemikli:",
NULL,"0207.27.20.00.00","----- Yarım veya çeyrekler","Kg"
NULL,"0207.27.30.00.00","----- Bütün kanatlar (kanat uçları olsun olmasın)","Kg"
NULL,"0207.27.40.00.00","----- Sırt,boyun,boyunlu sırt,kanat ve kuyruk uçları","Kg"
NULL,"0207.27.50.00.00","----- Göğüs ve göğüs parçaları","Kg"
NULL,,"----- But ve but parçaları",
NULL,"0207.27.60.00.00","------ Butun alt kısmı ve parçaları","Kg"
NULL,"0207.27.70.00.00","------ Diğerleri","Kg"
NULL,"0207.27.80.00.00","----- Diğerleri","Kg"
NULL,,"--- Sakatat:",
NULL,"0207.27.91.00.00","---- Karaciğerler","Kg"
NULL,"0207.27.99.00.00","---- Diğerleri","Kg"
NULL,,"- Ördekler,kazlar ve beç tavukları:",
NULL,"0207.32","-- Parçalanmamış (taze veya soğutulmuş):",
NULL,,"--- Ördekler:",
NULL,"0207.32.11.00.00","---- Tüyleri yolunmuş,kanı akıtılmış,içleri boşaltılmamış,yada","Kg"
NULL,,"bağırsakları çıkarılmamış,baş ve ayakları kesilmemiş %85'lik",
NULL,,"denilen ördekler",
NULL,"0207.32.15.00.00","---- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,boyun","Kg"
NULL,,"yürek,karaciğer ve taşlıkları alınmamış %70'lik denilen ördekler",
NULL,"0207.32.19.00.00","---- Tüyleri yolunmuş,içleri boşaltılmış,baş,ayak,boyun,yürek,","Kg"
NULL,,"karaciğer ve taşlıkları alınmış %63'lük denilen ördekler ve diğer",
NULL,,"şekilde bulunanlar",
NULL,,"--- Kazlar:",
NULL,"0207.32.51.00.00","---- Tüyleri yolunmuş,kanı akıtılmış,içleri boşaltılmamış,baş ve","Kg"
NULL,,"ayakları kesilmemiş %82'lik denilen kazlar",
NULL,"0207.32.59.00.00","---- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,yüreği","Kg"
NULL,,"ve taşlığı alınmış veya alınmamış %75'lik denilen kazlar veya",
NULL,,"diğer şekilde bulunanlar",
NULL,"0207.32.90.00.00","--- Beç tavukları","Kg"
NULL,"0207.33","-- Parçalanmamış (dondurulmuş):",
NULL,,"--- Ördekler:",
NULL,"0207.33.11.00.00","---- Tüyleri yolunmuş,içleri boşaltılmış,baş ve ayakları kesilmiş,boynu,","Kg"
